Авиакомпания,Тип ВС,ТО,Кол-во ТО
Победа,737-300,C-Check,[1.0]
Победа,737-800,Painting,[2.0]
C7,737-800,Painting,[3.0]
C7,737-800,C-Check,[0.0]
C7,Ил-96-300,C-Check,[1.0]
Россия,Ил-96-300,C-Check,[1.0]
C7,Ту-154М,C-Check,[2.0]
Уральские Авиалинии,Ту-154М,C-Check,[1.0]
C7,Ту-154М,Painting,[2.0]
Уральские Авиалинии,Ту-154М,Painting,[1.0]
Белавия,Ту-154М,Painting,[1.0]
C7,A319,C-Check,[1.0]
Уральские Авиалинии,A319,C-Check,[1.0]
C7,A319,D-Check,[0.0]
C7,A320,D-Check,[0.0]
C7,A320,Redelivery,[0.0]
C7,A320,C-Check,[3.0]
Аэрофлот,A320,C-Check,[3.0]
C7,A320,Painting,[6.0]
Аэрофлот,A320,Painting,[10.0]
C7,A321,D-Check,[0.0]
C7,A321,Redelivery,[0.0]
Аэрофлот,A321,Redelivery,[0.0]
Россия,A321,Redelivery,[0.0]
C7,A321,C-Check,[2.0]
Аэрофлот,A321,C-Check,[0.0]
Россия,A321,C-Check,[1.0]
Алроса,A321,C-Check,[1.0]
C7,A321,Painting,[4.0]
Аэрофлот,A321,Painting,[2.0]
Россия,A321,Painting,[5.0]
Аэрофлот,737-800,D-Check,[0.0]
Аэрофлот,Ил-96-400,Painting,[2.0]
Россия,Ил-96-300,Painting,[1.0]
Уральские Авиалинии,A319,Redelivery,[0.0]
